loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,chargeoff_within_12_mths,pub_rec_bankruptcies,tax_liens,revol_util_missing,loan_to_income,installment_ratio,credit_age_years,loan_duration_days,high_dti_flag,high_interest_flag,target_default
3000,3000, 36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000.0,Source Verified,2011-12-01,Fully Paid,credit_card,606xx,IL,12.56,0,2003-07-01,2,0.0,0.0,11,0,7323,43.1,11,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2,0.006445333333333334,8.424657534246576,1127.0,0,0,0
10000,10000, 36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000.0,Source Verified,2011-12-01,Charged Off,other,951xx,CA,7.06,0,1991-05-01,2,0.0,0.0,14,0,11997,55.5,29,2013-10-01,2014-03-01,0.0,0.0,0.0,0.0,0,0.1,0.0032574,20.6,670.0,0,0,1
1000,1000, 36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,641xx,MO,20.31,0,2007-09-01,1,0.0,0.0,11,0,6524,81.5,23,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.03571428571428571,0.0012610714285714287,4.252054794520548,1127.0,1,1,0
10000,10000, 36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000.0,Not Verified,2011-12-01,Fully Paid,home_improvement,921xx,CA,18.6,0,1998-10-01,2,61.0,0.0,14,0,24043,70.2,28,2015-01-01,2015-04-01,0.0,0.0,0.0,0.0,0,0.23809523809523808,0.008285238095238096,13.175342465753424,1127.0,0,1,0
3600,3600, 36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000.0,Not Verified,2011-12-01,Fully Paid,major_purchase,067xx,CT,10.52,0,1993-08-01,0,0.0,0.0,20,0,22836,16.0,42,2013-05-01,2014-05-01,0.0,0.0,0.0,0.0,0,0.03272727272727273,0.000996090909090909,18.345205479452055,517.0,0,0,0
6000,6000, 36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000.0,Verified,2011-12-01,Fully Paid,medical,890xx,UT,18.44,2,2003-10-01,0,8.0,0.0,4,0,0,37.73,14,2015-02-01,2015-07-01,0.0,0.0,0.0,0.0,0,0.07142857142857142,0.002362619047619048,8.172602739726027,1158.0,0,0,0
9200,9200, 36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,2011-12-01,Fully Paid,debt_consolidation,921xx,CA,9.86,0,2001-01-01,0,0.0,0.0,8,0,7314,23.1,28,2012-07-01,2016-02-01,0.0,0.0,0.0,0.0,0,0.11888579714025384,0.0036183926149176604,10.92054794520548,213.0,0,0,0
20250,20250, 60 months,15.27,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370.0,Verified,2011-12-01,Fully Paid,debt_consolidation,770xx,TX,26.53,0,1997-11-01,3,0.0,0.0,8,0,17813,85.6,22,2015-08-01,2016-03-01,0.0,0.0,0.0,0.0,0,0.4669126124048882,0.011174314041964492,14.09041095890411,1339.0,1,1,0
21000,21000, 36 months,12.42,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000.0,Verified,2011-12-01,Charged Off,debt_consolidation,335xx,FL,13.22,0,1983-02-01,0,0.0,0.0,7,0,32135,90.3,38,2013-09-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2,0.006683142857142857,28.84931506849315,640.0,0,0,1
10000,10000, 36 months,11.71,330.76,B,B3,Value Air,10+ years,OWN,50000.0,Source Verified,2011-12-01,Fully Paid,credit_card,799xx,TX,11.18,0,1985-07-01,0,0.0,0.0,8,0,10056,82.4,21,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2,0.0066152,26.435616438356163,1127.0,0,0,0
10000,10000, 36 months,11.71,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,917xx,CA,16.01,0,2003-04-01,0,0.0,0.0,6,0,17800,91.8,17,2013-10-01,2014-03-01,0.0,0.0,0.0,0.0,0,0.2,0.0066152,8.673972602739726,670.0,0,0,0
6000,6000, 36 months,11.71,198.46,B,B3,bmg-educational,1 year,RENT,76000.0,Not Verified,2011-12-01,Charged Off,major_purchase,900xx,CA,2.4,0,2001-06-01,1,0.0,0.0,7,0,5963,29.7,7,2012-10-01,2013-03-01,0.0,0.0,0.0,0.0,0,0.07894736842105263,0.0026113157894736842,10.506849315068493,305.0,0,0,1
15000,15000, 36 months,9.91,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000.0,Verified,2011-12-01,Fully Paid,credit_card,605xx,IL,29.44,0,2002-02-01,0,0.0,0.0,8,0,13707,93.9,31,2012-09-01,2012-09-01,0.0,0.0,0.0,0.0,0,0.16304347826086957,0.0052541304347826084,9.835616438356164,275.0,1,0,0
15000,15000, 36 months,14.27,514.64,C,C2,nyc transit,9 years,RENT,60000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,103xx,NY,15.22,0,2003-10-01,1,0.0,0.0,7,0,5872,57.6,11,,2016-05-01,0.0,0.0,0.0,0.0,0,0.25,0.008577333333333333,8.172602739726027,,0,0,1
5000,5000, 60 months,16.77,123.65,D,D2,Frito Lay,2 years,RENT,50004.0,Not Verified,2011-12-01,Charged Off,other,150xx,PA,13.97,3,2003-10-01,0,20.0,0.0,14,0,4345,59.5,22,2012-12-01,2013-05-01,0.0,0.0,0.0,0.0,0,0.0999920006399488,0.002472802175825934,8.172602739726027,366.0,0,1,1
4000,4000, 36 months,11.71,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,326xx,FL,5.63,1,1984-08-01,0,18.0,0.0,12,0,6110,37.7,44,2013-04-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.03773584905660377,0.0012482075471698113,27.350684931506848,487.0,0,0,0
8500,8500, 36 months,11.71,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000.0,Source Verified,2011-12-01,Fully Paid,credit_card,564xx,MN,12.19,0,2006-11-01,0,0.0,0.0,8,0,6441,59.1,12,2014-12-01,2015-01-01,0.0,0.0,0.0,0.0,0,0.34,0.011245999999999999,5.0849315068493155,1096.0,0,0,0
4375,4375, 36 months,7.51,136.11,A,A3,Unknown,7 years,MORTGAGE,17108.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,141xx,NY,20.34,0,1987-12-01,0,0.0,0.0,6,0,11210,86.9,12,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.25572831423895254,0.007955927051671733,24.016438356164382,1127.0,1,0,0
31825,31825, 36 months,7.9,995.82,A,A4,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,080xx,NJ,14.03,0,1981-11-01,0,0.0,0.0,12,0,23151,27.4,26,2013-08-01,2016-02-01,0.0,0.0,0.0,0.0,0,0.42433333333333334,0.0132776,30.101369863013698,609.0,0,0,0
10000,10000, 60 months,15.96,242.97,C,C5,US Legal Support,2 years,RENT,29120.0,Verified,2011-12-01,Current,debt_consolidation,330xx,FL,22.83,0,1997-02-01,1,68.0,0.0,11,0,16158,63.6,31,2016-05-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.3434065934065934,0.00834375,14.838356164383562,1613.0,1,1,0
5000,5000, 36 months,8.9,158.77,A,A5,Good Samaritan Society,2 years,RENT,24044.0,Verified,2011-12-01,Fully Paid,debt_consolidation,974xx,OR,11.93,0,2005-04-01,0,45.0,0.0,8,0,2224,29.3,16,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2079520878389619,0.006603310597238397,6.671232876712328,1127.0,0,0,0
7000,7000, 36 months,15.96,245.97,C,C5,GREG BARRETT DRYWALL,7 years,RENT,34000.0,Source Verified,2011-12-01,Fully Paid,credit_card,934xx,CA,6.35,0,2007-10-01,1,0.0,0.0,6,0,6113,60.5,6,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.20588235294117646,0.0072344117647058824,4.16986301369863,1127.0,0,1,0
12400,12400, 36 months,10.65,403.91,B,B2,Sharp Lawn Inc.,10+ years,RENT,41000.0,Not Verified,2011-12-01,Fully Paid,credit_card,405xx,KY,11.8,0,2005-07-01,2,0.0,0.0,9,0,11095,57.2,12,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.3024390243902439,0.009851463414634148,6.421917808219178,1127.0,0,0,0
10800,10800, 36 months,9.91,348.03,B,B1,Department of Justice,2 years,RENT,55596.0,Source Verified,2011-12-01,Fully Paid,moving,946xx,CA,5.5,0,2000-12-01,0,0.0,0.0,7,0,2535,13.3,18,2013-11-01,2016-01-01,0.0,0.0,0.0,0.0,0,0.19425857975393912,0.006259982732570688,11.005479452054795,701.0,0,0,0
15000,15000, 36 months,7.9,469.36,A,A4,Gateway Hospice,1 year,RENT,45000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,445xx,OH,8.48,0,2004-11-01,0,0.0,0.0,7,0,6704,50.4,27,2014-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.010430222222222223,7.0849315068493155,762.0,0,0,0
6000,6000, 36 months,12.42,200.5,B,B4,Cox Communications,1 year,RENT,36852.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,850xx,AZ,10.62,0,2007-04-01,1,0.0,0.0,7,0,7310,66.5,12,2014-04-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.16281341582546402,0.005440681645500923,4.671232876712328,852.0,0,0,0
12500,12500, 60 months,12.69,282.44,B,B5,United States Infrastructure Corporation,1 year,RENT,27000.0,Verified,2011-12-01,Current,debt_consolidation,604xx,IL,16.04,0,2001-12-01,3,0.0,0.0,6,0,10143,50.0,24,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.46296296296296297,0.010460740740740741,10.005479452054795,1613.0,0,0,0
9600,9600, 36 months,7.51,298.67,A,A3,Nucor Building Systems,4 years,RENT,68004.0,Source Verified,2011-12-01,Fully Paid,other,292xx,SC,6.63,0,2003-01-01,0,0.0,0.0,6,0,2896,18.1,11,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.14116816657843656,0.004391947532498088,8.92054794520548,1127.0,0,0,0
12000,12000, 36 months,7.9,375.49,A,A4,John Wiley Jr.,10+ years,RENT,62300.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,088xx,NJ,16.7,0,1994-03-01,0,38.0,0.0,15,0,8601,21.0,25,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.1926163723916533,0.0060271268057784915,17.764383561643836,1127.0,0,0,0
3000,3000, 36 months,18.25,108.84,D,D5,Unknown,9 years,MORTGAGE,65000.0,Not Verified,2011-12-01,Fully Paid,other,180xx,PA,17.39,0,1998-09-01,0,0.0,0.0,8,0,43936,98.1,22,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.046153846153846156,0.0016744615384615385,13.257534246575343,1127.0,0,1,0
4400,4400, 36 months,16.77,156.37,D,D2,citizens bank,10+ years,RENT,55000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,029xx,RI,20.01,0,2004-06-01,0,0.0,0.0,7,0,25237,99.0,11,2015-01-01,2015-12-01,0.0,0.0,0.0,0.0,0,0.08,0.0028430909090909093,7.504109589041096,1127.0,1,1,0
6000,6000, 36 months,6.03,182.62,A,A1,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,700xx,LA,5.34,0,1995-11-01,1,0.0,0.0,6,0,3378,32.5,28,2012-07-01,2012-06-01,0.0,0.0,0.0,0.0,0,0.13157894736842105,0.0040048245614035085,16.09315068493151,213.0,0,0,0
14000,14000, 36 months,9.91,451.15,B,B1,golfers warehouse,6 years,RENT,80000.0,Not Verified,2011-12-01,Fully Paid,small_business,010xx,MA,10.0,0,1999-07-01,1,45.0,0.0,7,0,2219,13.4,40,2015-01-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.175,0.005639374999999999,12.427397260273972,1127.0,0,0,0
5000,5000, 36 months,8.9,158.77,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,441xx,OH,16.33,0,1995-06-01,0,0.0,0.0,17,0,74351,62.1,35,2014-08-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.05,0.0015877,16.512328767123286,974.0,0,0,1
10000,10000, 36 months,10.65,325.74,B,B2,Costco Wholesale Corp.,6 years,RENT,27000.0,Verified,2011-12-01,Fully Paid,other,104xx,NY,11.47,0,2006-11-01,0,0.0,0.0,7,0,7814,52.3,10,2015-01-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.37037037037037035,0.012064444444444445,5.0849315068493155,1127.0,0,0,0
10000,10000, 36 months,6.03,304.36,A,A1,Helicoil,10+ years,RENT,60000.0,Not Verified,2011-12-01,Fully Paid,credit_card,067xx,CT,12.74,0,1992-09-01,1,0.0,0.0,11,0,14019,19.5,18,2012-07-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.16666666666666666,0.005072666666666667,19.26027397260274,213.0,0,0,0
11000,11000, 36 months,6.62,337.75,A,A2,cognizant technology solutions,5 years,RENT,70000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,061xx,CT,10.85,0,2002-01-01,0,0.0,0.0,5,0,11638,36.4,7,2015-01-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.15714285714285714,0.004825,9.92054794520548,1127.0,0,0,0
15000,15000, 36 months,9.91,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,616xx,IL,9.12,0,1992-04-01,2,0.0,0.0,9,0,11845,63.7,28,2014-10-01,2015-03-01,0.0,0.0,0.0,0.0,0,0.1875,0.00604225,19.67945205479452,1035.0,0,0,1
25600,25600, 36 months,9.91,824.96,B,B1,City of Santa Monica ,9 years,RENT,110000.0,Verified,2011-12-01,Fully Paid,credit_card,913xx,CA,15.71,0,1999-07-01,0,0.0,0.0,11,0,26088,62.0,27,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.23272727272727273,0.007499636363636364,12.427397260273972,1127.0,0,0,0
7000,7000, 36 months,10.65,228.02,B,B2,Aerotek Scientific,< 1 year,RENT,40000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,947xx,CA,7.38,0,2004-04-01,0,0.0,0.0,7,0,12168,92.9,12,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.175,0.0057005,7.671232876712328,1127.0,0,0,0
12000,12000, 36 months,15.96,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000.0,Not Verified,2011-12-01,Charged Off,car,914xx,CA,20.88,0,2006-10-01,2,0.0,0.0,11,0,15793,90.8,11,2012-08-01,2012-12-01,0.0,0.0,0.0,0.0,0,0.24,0.008433,5.16986301369863,244.0,1,1,1
12000,12000, 36 months,9.91,386.7,B,B1,Scott & White,1 year,RENT,46000.0,Not Verified,2011-12-01,Fully Paid,credit_card,765xx,TX,8.11,0,2000-05-01,1,0.0,0.0,11,0,12143,52.1,12,2014-07-01,2016-03-01,0.0,0.0,0.0,0.0,0,0.2608695652173913,0.008406521739130434,11.591780821917808,943.0,0,0,0
21000,21000, 60 months,19.91,555.33,E,E4,Costco,7 years,RENT,50000.0,Verified,2011-12-01,Charged Off,debt_consolidation,980xx,WA,21.58,0,1998-09-01,1,0.0,0.0,7,0,19448,97.6,14,2014-10-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.42,0.011106600000000001,13.257534246575343,1035.0,1,1,1
16000,16000, 60 months,19.91,423.11,E,E4,CA Technologies,7 years,RENT,81000.0,Verified,2011-12-01,Fully Paid,credit_card,017xx,MA,20.52,0,1998-12-01,3,0.0,0.0,12,0,27884,75.1,21,2013-10-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.19753086419753085,0.00522358024691358,13.008219178082191,670.0,1,1,0
10000,10000, 36 months,12.42,334.16,B,B4,Netflix,< 1 year,OWN,39000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,972xx,OR,18.58,0,2004-12-01,0,0.0,0.0,5,0,12874,72.7,10,2013-07-01,2015-03-01,0.0,0.0,0.0,0.0,0,0.2564102564102564,0.00856820512820513,7.002739726027397,578.0,0,0,0
10000,10000, 36 months,10.65,325.74,B,B2,DCAA,2 years,RENT,51400.0,Not Verified,2011-12-01,Fully Paid,credit_card,752xx,TX,19.14,0,2000-10-01,3,0.0,0.0,10,0,10160,59.1,24,2012-08-01,2014-09-01,0.0,0.0,0.0,0.0,0,0.19455252918287938,0.006337354085603113,11.172602739726027,244.0,0,0,0
7100,7100, 36 months,16.77,252.33,D,D2,Triple D security ,1 year,MORTGAGE,33000.0,Verified,2011-12-01,Fully Paid,debt_consolidation,787xx,TX,24.0,0,2007-04-01,2,0.0,0.0,4,0,6021,91.2,8,2015-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.21515151515151515,0.007646363636363637,4.671232876712328,1127.0,1,1,0
13000,13000, 60 months,12.69,293.74,B,B5,wrisco,< 1 year,MORTGAGE,30000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,077xx,NJ,13.72,0,2002-05-01,0,0.0,0.0,17,0,17080,58.9,27,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,0,0.43333333333333335,0.009791333333333334,9.591780821917808,1492.0,0,0,0
17500,8950, 60 months,17.27,223.74,D,D3,Unknown,6 years,RENT,40000.0,Verified,2011-12-01,Fully Paid,small_business,951xx,CA,19.47,0,2006-05-01,1,0.0,0.0,5,0,10724,58.9,6,2016-02-01,2016-01-01,0.0,0.0,0.0,0.0,0,0.4375,0.0055935,5.589041095890411,1523.0,0,1,0
17675,17675, 60 months,14.65,417.25,C,C3,webb candy,< 1 year,RENT,50000.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,540xx,WI,16.46,0,2002-07-01,2,0.0,0.0,6,0,6661,57.4,14,2013-08-01,2014-02-01,0.0,0.0,0.0,0.0,0,0.3535,0.008345,9.424657534246576,609.0,0,0,0
8000,8000, 36 months,16.77,284.31,D,D2,Omniplex ,< 1 year,RENT,62000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,225xx,VA,21.64,0,2006-07-01,3,0.0,0.0,14,0,6088,66.9,20,2014-12-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.12903225806451613,0.004585645161290322,5.421917808219178,1096.0,1,1,0
10000,10000, 60 months,10.65,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996.0,Verified,2011-12-01,Charged Off,debt_consolidation,440xx,OH,21.73,0,1997-05-01,1,0.0,0.0,7,0,11170,30.1,15,2015-04-01,2015-06-01,0.0,0.0,0.0,0.0,0,0.21741020958344204,0.004689320810505261,14.594520547945205,1217.0,1,0,1
3500,3500, 36 months,10.65,114.01,B,B2,CPI,7 years,MORTGAGE,55000.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,437xx,OH,5.39,0,2005-10-01,1,0.0,0.0,9,0,6611,45.9,12,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.06363636363636363,0.002072909090909091,6.16986301369863,1127.0,0,0,0
12500,8925, 60 months,17.27,223.11,D,D3,grandma kitchen,5 years,RENT,30000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,559xx,MN,13.16,0,1995-04-01,0,0.0,113.0,7,1,9844,70.8,28,2014-02-01,2016-05-01,0.0,0.0,1.0,0.0,0,0.4166666666666667,0.007437,16.67945205479452,793.0,0,1,1
16425,16425, 36 months,14.27,563.53,C,C2,"Gen-Probe, Inc",4 years,RENT,44544.0,Source Verified,2011-12-01,Fully Paid,debt_consolidation,921xx,CA,22.71,0,2002-10-01,1,0.0,0.0,10,0,15747,83.4,18,2012-11-01,2015-07-01,0.0,0.0,0.0,0.0,0,0.3687365301724138,0.012651086566091953,9.172602739726027,336.0,1,0,0
8200,8200, 60 months,21.28,223.14,F,F2,autozone,4 years,RENT,75000.0,Source Verified,2011-12-01,Charged Off,small_business,912xx,CA,12.48,0,2000-01-01,3,0.0,0.0,6,0,9012,73.9,11,2013-06-01,2013-10-01,0.0,0.0,0.0,0.0,0,0.10933333333333334,0.0029752,11.923287671232877,548.0,0,1,1
15000,15000, 36 months,14.65,517.42,C,C3,USAF Civil Service,2 years,OWN,61000.0,Verified,2011-12-01,Fully Paid,credit_card,325xx,FL,11.88,0,2004-06-01,1,0.0,0.0,8,0,19397,79.5,18,2014-09-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2459016393442623,0.008482295081967212,7.504109589041096,1005.0,0,0,0
20975,13575, 60 months,17.58,341.63,D,D4,Dollar Tree Stores,5 years,MORTGAGE,44000.0,Verified,2011-12-01,Fully Paid,credit_card,300xx,GA,18.79,0,2000-04-01,0,0.0,105.0,13,1,20657,79.4,21,2014-04-01,2014-04-01,0.0,0.0,1.0,0.0,0,0.47670454545454544,0.007764318181818182,11.673972602739726,852.0,0,1,0
6400,6400, 36 months,16.77,227.45,D,D2,"Riverside County, California",5 years,RENT,75000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,923xx,CA,20.22,0,1994-12-01,0,48.0,0.0,9,0,7159,67.5,27,2013-10-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.08533333333333333,0.0030326666666666666,17.01095890410959,670.0,1,1,1
3000,3000, 36 months,13.49,101.8,C,C1,Insight Card Services,1 year,RENT,33600.0,Not Verified,2011-12-01,Fully Paid,debt_consolidation,352xx,AL,18.11,0,2005-10-01,0,41.0,0.0,4,0,2745,83.2,7,2012-09-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.08928571428571429,0.003029761904761905,6.16986301369863,275.0,0,0,0
12000,12000, 36 months,16.77,426.47,D,D2,Genocea Biosciences,3 years,RENT,50000.0,Not Verified,2011-12-01,Fully Paid,credit_card,013xx,MA,20.57,0,2005-09-01,1,0.0,0.0,13,0,11443,97.0,19,2015-01-01,2014-12-01,0.0,0.0,0.0,0.0,0,0.24,0.008529400000000001,6.252054794520548,1127.0,1,1,0
